filename,correction / note,framestart,framestop,frameoffset,class,handnum,relocatable?,bodytouch?,handtohandtouch?,mouth,WordNetEntries,SpreadTheSignExample,SignDictExample,fps,videolink_body,videolink_face,annotation_name
K,Recorded,160.0,190.0,,Buchstabe,1.0,yes,no,no,<ka>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=K.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_K_trimmed.mp4,fa:K
L,Recorded,170.0,200.0,,Buchstabe,1.0,yes,no,no,<el>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=L.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_L_trimmed.mp4,fa:L
M,Recorded,175.0,205.0,,Buchstabe,1.0,yes,no,no,<em>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=M.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_M_trimmed.mp4,fa:M
N,Recorded,160.0,190.0,,Buchstabe,1.0,yes,no,no,<en>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=N.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_N_trimmed.mp4,fa:N
O,Recorded,156.0,185.0,,Buchstabe,1.0,yes,no,no,<o>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=O.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_O_trimmed.mp4,fa:O
P,Recorded,174.0,204.0,,Buchstabe,1.0,yes,no,no,<pe>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=P.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_P_trimmed.mp4,fa:P
Q,Recorded,186.0,218.0,,Buchstabe,1.0,yes,no,no,<qu>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=Q.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_Q_trimmed.mp4,fa:Q
R,Recorded,172.0,202.0,,Buchstabe,1.0,yes,no,no,<er>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=R.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_R_trimmed.mp4,fa:R
S,Recorded,170.0,200.0,,Buchstabe,1.0,yes,no,no,<es>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=S.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_S_trimmed.mp4,fa:S
T,Recorded,232.0,262.0,,Buchstabe,1.0,yes,no,no,<te>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=T.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_T_trimmed.mp4,fa:T
U,Recorded,145.0,175.0,,Buchstabe,1.0,yes,no,no,<u>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=U.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_U_trimmed.mp4,fa:U
V,Recorded,173.0,203.0,,Buchstabe,1.0,yes,no,no,<vau>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=V.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_V_trimmed.mp4,fa:V
W,Recorded,180.0,210.0,,Buchstabe,1.0,yes,no,no,<we>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=W.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_W_trimmed.mp4,fa:W
X,Recorded,150.0,180.0,,Buchstabe,1.0,yes,no,no,<ix>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=X.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_X_trimmed.mp4,fa:X
Y,Recorded,202.0,243.0,,Buchstabe,1.0,yes,no,no,<ypsilon>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=Y.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_Y_trimmed.mp4,fa:Y
Z,Recorded,177.0,205.0,,Buchstabe,1.0,yes,no,no,<zet>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=Z.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_Z_trimmed.mp4,fa:Z
AUM,Recorded,156.0,192.0,,Buchstabe,1.0,yes,no,no,<ä>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=AUM.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_AUM_trimmed.mp4,fa:AUM
OUM,Recorded,162.0,201.0,,Buchstabe,1.0,yes,no,no,<ö>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=OUM.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_OUM_trimmed.mp4,fa:OUM
UUM,Recorded,141.0,187.0,,Buchstabe,1.0,yes,no,no,<ü>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=UUM.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_UUM_trimmed.mp4,fa:UUM
SS,Recorded,169.0,198.0,,Buchstabe,1.0,yes,no,no,<ss>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=SS.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_SS_trimmed.mp4,fa:SS
SCH,Recorded,172.0,200.0,,Buchstabe,1.0,yes,no,no,<sch>,,,,60.0,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa&files=SCH.mp4,https://cloud-affective.dfki.de/index.php/s/gbXtp3tSymEg9Zx/download?path=%2Fmocapdata%2Ffa%2F_facecam&files=faceCam_SCH_trimmed.mp4,fa:SCH
